Index,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700
18.0,0.409,0.671,0.84,0.878,0.883,0.886,0.887,0.888,0.888,0.888,0.887,0.887,0.887,0.887,0.887,0.886,0.887,0.888,0.887,0.886,0.887,0.889,0.891,0.891,0.89,0.889,0.889,0.888,0.888,0.888,0.888
14.0,0.051,0.05,0.049,0.049,0.049,0.049,0.048,0.047,0.045,0.044,0.044,0.044,0.044,0.044,0.045,0.047,0.05,0.057,0.072,0.109,0.192,0.332,0.486,0.598,0.654,0.686,0.7,0.707,0.718,0.724,0.729
12.0,0.136,0.175,0.208,0.244,0.29,0.335,0.338,0.302,0.239,0.172,0.12,0.086,0.066,0.054,0.048,0.045,0.043,0.041,0.04,0.04,0.039,0.04,0.04,0.041,0.042,0.042,0.043,0.044,0.044,0.045,0.048
9.0,0.177,0.199,0.206,0.19,0.168,0.144,0.12,0.101,0.086,0.075,0.067,0.061,0.058,0.054,0.052,0.053,0.055,0.054,0.052,0.053,0.059,0.074,0.099,0.126,0.149,0.172,0.193,0.217,0.248,0.282,0.319
17.0,0.195,0.238,0.258,0.281,0.315,0.352,0.391,0.434,0.458,0.457,0.433,0.392,0.339,0.282,0.228,0.18,0.141,0.114,0.097,0.088,0.08,0.075,0.073,0.073,0.073,0.074,0.076,0.077,0.075,0.074,0.072
13.0,0.058,0.059,0.059,0.062,0.065,0.07,0.078,0.091,0.113,0.14,0.18,0.244,0.324,0.363,0.355,0.323,0.281,0.238,0.196,0.158,0.124,0.101,0.089,0.084,0.08,0.077,0.075,0.075,0.078,0.082,0.088
3.0,0.05,0.049,0.05,0.052,0.054,0.058,0.061,0.064,0.067,0.07,0.078,0.106,0.155,0.181,0.177,0.157,0.137,0.126,0.122,0.115,0.104,0.098,0.098,0.1,0.097,0.095,0.095,0.101,0.125,0.174,0.247
8.0,0.144,0.144,0.138,0.132,0.131,0.129,0.126,0.125,0.119,0.109,0.103,0.1,0.094,0.089,0.092,0.102,0.108,0.112,0.157,0.274,0.415,0.517,0.567,0.591,0.601,0.607,0.607,0.605,0.605,0.605,0.606
11.0,0.065,0.064,0.064,0.064,0.065,0.067,0.069,0.077,0.092,0.107,0.123,0.146,0.193,0.273,0.374,0.456,0.512,0.554,0.584,0.609,0.624,0.635,0.645,0.654,0.662,0.672,0.676,0.678,0.685,0.69,0.696
0.0,0.065,0.068,0.064,0.059,0.055,0.053,0.052,0.052,0.054,0.057,0.061,0.065,0.07,0.074,0.076,0.079,0.087,0.1,0.115,0.129,0.138,0.146,0.154,0.163,0.173,0.188,0.204,0.222,0.242,0.261,0.282
22.0,0.091,0.094,0.094,0.094,0.095,0.095,0.094,0.094,0.093,0.093,0.092,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.092,0.092,0.091,0.09,0.09,0.089,0.089,0.088,0.087,0.087,0.086
10.0,0.06,0.061,0.062,0.064,0.068,0.075,0.085,0.104,0.135,0.185,0.269,0.384,0.484,0.534,0.545,0.533,0.513,0.487,0.454,0.416,0.374,0.346,0.331,0.325,0.32,0.319,0.324,0.337,0.354,0.368,0.379
7.0,0.231,0.293,0.324,0.348,0.373,0.387,0.374,0.345,0.301,0.247,0.202,0.167,0.137,0.116,0.106,0.099,0.09,0.083,0.083,0.086,0.087,0.085,0.084,0.088,0.098,0.111,0.123,0.126,0.12,0.115,0.116
4.0,0.328,0.418,0.446,0.448,0.444,0.434,0.421,0.405,0.381,0.362,0.342,0.314,0.271,0.231,0.211,0.209,0.201,0.196,0.206,0.223,0.235,0.245,0.243,0.247,0.269,0.318,0.384,0.446,0.49,0.511,0.52
15.0,0.053,0.053,0.052,0.053,0.053,0.055,0.059,0.075,0.121,0.202,0.303,0.394,0.475,0.544,0.597,0.63,0.66,0.686,0.708,0.726,0.737,0.746,0.753,0.761,0.768,0.777,0.78,0.781,0.785,0.787,0.792
1.0,0.182,0.197,0.201,0.205,0.212,0.224,0.24,0.262,0.282,0.293,0.301,0.321,0.322,0.298,0.292,0.3,0.295,0.305,0.358,0.435,0.494,0.53,0.55,0.564,0.574,0.59,0.605,0.624,0.652,0.682,0.713
19.0,0.372,0.529,0.58,0.585,0.587,0.588,0.586,0.583,0.581,0.58,0.58,0.58,0.581,0.582,0.583,0.583,0.584,0.586,0.588,0.588,0.588,0.586,0.585,0.583,0.58,0.578,0.576,0.574,0.572,0.57,0.568
23.0,0.035,0.036,0.036,0.036,0.035,0.035,0.035,0.035,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.032,0.032
5.0,0.252,0.303,0.322,0.336,0.353,0.375,0.408,0.46,0.523,0.566,0.582,0.58,0.569,0.549,0.519,0.48,0.436,0.392,0.346,0.302,0.26,0.234,0.221,0.215,0.21,0.208,0.211,0.22,0.233,0.244,0.252
