R,G,B
63.7275,102.5502,115.6837
273.7962,375.8855,402.2989
364.4940,201.6117,188.5339
70.5703,137.1329,106.4962
478.3723,257.4666,272.4276
471.8340,451.5135,330.2693
62.3069,309.6908,384.6786
393.1237,124.1369,141.5554
144.8714,202.9633,300.0969
155.0574,68.8439,91.3546
118.1517,461.2308,350.4268
88.6917,455.5733,487.3365
316.8963,65.8061,88.7998
100.4900,248.9632,153.0590
54.9189,124.7569,212.5623
100.8490,630.0266,591.5494
319.5512,203.3569,310.0000
417.3738,209.9438,152.8794
1007.3875,937.4022,888.1483
669.2960,616.8179,586.3171
412.2829,378.4199,359.4501
233.6794,214.5850,203.8316
108.0961,97.8935,92.7052
40.1882,35.4159,33.6052
