R,G,B
882.5201,736.1807,710.4684
45.7973,47.3776,43.6257
43.2006,47.5211,46.6496
46.8687,50.2736,47.6952
47.1333,49.6641,46.3411
51.8341,47.7169,42.4232
52.4379,50.7179,42.9275
50.8874,52.9805,46.1827
52.1732,51.5575,46.6151
49.8331,51.1368,51.4606
56.8086,49.6566,42.9066
62.1169,46.0575,44.3373
55.8086,51.4599,43.5132
55.3003,50.4689,51.7521
55.3980,53.4044,46.0408
52.3302,51.2659,52.8166
59.1283,50.9211,45.2509
62.5889,49.4295,45.9449
54.5637,55.2561,47.2489
57.2727,53.6718,48.3979
45.7430,53.6580,57.6684
62.0371,50.6642,46.7288
50.7421,50.8985,53.0853
63.1589,47.4969,41.6992
